name,price,stock
 Camry ," $28,270",MU578881
 Camry ," $28,318",MU482064
 Camry ," $27,699",MU042067
 Camry ," $28,189",MU603844
 Corolla ," $21,744",MJ147524
 Camry ," $28,653",MU564047
 RAV4 ," $29,094",MC216617
 Tacoma ," $26,218",MT026063
 C-HR ," $25,788",M1122918
 Corolla ," $24,969",MJ034803
 Corolla ," $24,295",MP092818
 Corolla ," $24,969",MJ030839
 Corolla ," $21,844",MJ185589
 Corolla ," $21,844",MJ185439
 Corolla ," $21,844",MJ187890
 RAV4 ," $29,234",MC224703
 Camry ," $31,738",MU597793
 Camry ," $31,194",MU042896
 Camry ," $31,194",MU042761
 Camry ," $31,609",MU484846
 Camry ," $31,738",MU600031
 Camry ," $31,738",MU599667
 Rav4 Hybrid ," $30,974",MU025315
 Rav4 Hybrid ," $30,384",MU024286
 Camry ," $29,923",MU477132
 Camry ," $30,023",MU593038
 Camry ," $29,794",MU485478
 Camry ," $30,043",MU042248
 Camry ," $29,923",MU480250
 Tacoma ," $29,293",MT008550
 Tacoma ," $34,228",MT043390
 Camry ," $31,738",MU602325
 Rav4 Hybrid ," $33,934",MU024157
 RAV4 ," $34,238",MC187818
 Rav4 Hybrid ," $33,869",MU025157
 Rav4 Hybrid ," $33,869",MU024780
 Tacoma ," $34,967",MT040529
 Rav4 Hybrid ," $33,869",MU024989
 Camry ," $31,899",MU485459
 Rav4 Hybrid ," $33,869",MU024108
 Rav4 Hybrid ," $31,916",MU013317
 Camry ," $32,379",MU030268
 Rav4 Hybrid ," $33,869",MU024561
 Camry ," $33,638",MU603366
 Camry ," $31,899",MU485088
 Camry ," $36,578",MU601474
 Tacoma ," $40,317",MT003963
 Highlander ," $40,572",MS550504
 Highlander ," $40,572",MS132669
 Camry ," $38,873",MU057032
 Tacoma ," $40,192",MT043022
 Tacoma ," $37,747",MT004036
 Venza ," $38,474",MJ054626
 Camry ," $37,003",MU603361
 Rav4 Hybrid ," $37,203",MW026649
 Tacoma ," $37,747",MT003932
 RAV4 ," $37,273",MW205000
 Tacoma ," $37,247",MT043272
 Camry ," $37,443",MU560906
 Rav4 Hybrid ," $36,953",MU043673
 Highlander ," $43,372",MS549556
 Highlander ," $43,372",MS549379
 Tacoma ," $40,707",MT042196
 Highlander ," $43,372",MS551159
 Highlander ," $43,372",MS550237
 Highlander ," $43,372",MS131567
 Highlander ," $43,372",MS135436
 Highlander ," $43,197",MS119206
 Tacoma ," $41,156",MM434957
 Highlander ," $41,953",MS530218
 Tacoma ," $41,156",MM435373
 Rav4 Hybrid ," $41,203",MU044073
 4Runner ," $41,324",M5902272
 RAV4 Prime ," $41,902",MD036828
 Avalon ," $41,063",MU008379
 Highlander ," $43,797",MS134716
 Sienna ," $45,570",MS030301
 Tacoma ," $45,572",MM435337
 4Runner ," $46,029",M5941566
 Sienna ," $46,935",MS030089
 Sienna ," $46,935",MS031272
 Highlander ," $46,997",MS135319
 Tundra ," $45,565",MX027830
 Avalon ," $44,997",MU001558
 Highlander ," $43,797",MS551395
 Highlander ," $44,412",MS134804
 Highlander ," $43,797",MS135227
 Venza ," $44,029",MJ052520
 Avalon ," $44,648",MU001222
 Highlander ," $43,797",MS550200
 Sienna ," $54,438",MS029433
 Highlander ," $50,108",MS531042
 Highlander ," $46,997",MS134166
 Highlander ," $51,158",MS132374
 Tundra ," $55,035",MX030039
 Tundra ," $56,100",MX028448
 Highlander ," $50,808",MS134271
 Tundra ," $49,340",MX029527
 4Runner ," $48,782",M5943076
 4Runner ," $49,027",M5878765
