rank,city,state
1,New York,New York
2,Los Angeles,California
3,Chicago,Illinois
4,Houston,Texas
5,Phoenix,Arizona
6,Philadelphia,Pennsylvania
7,San Antonio,Texas
8,San Diego,California
9,Dallas,Texas
10,San Jose,California
11,Austin,Texas
12,Fort Worth,Texas
13,Jacksonville,Florida
14,Columbus,Ohio
15,Charlotte,North Carolina
16,Indianapolis,Indiana
17,San Francisco,California
18,Seattle,Washington
19,Denver,Colorado
20,Washington,District of Columbia
21,Boston,Massachusetts
22,El Paso,Texas
23,Nashville,Tennessee
24,Detroit,Michigan
25,Las Vegas,Nevada
26,Oklahoma City,Oklahoma
27,Portland,Oregon
28,Memphis,Tennessee
29,Louisville,Kentucky
30,Milwaukee,Wisconsin
31,Baltimore,Maryland
32,Albuquerque,New Mexico
33,Tucson,Arizona
34,Fresno,California
35,Mesa,Arizona
36,Sacramento,California
37,Atlanta,Georgia
38,Kansas City,Missouri
39,Colorado Springs,Colorado
40,Omaha,Nebraska
41,Raleigh,North Carolina
42,Miami,Florida
43,Long Beach,California
44,Virginia Beach,Virginia
45,Minneapolis,Minnesota
46,Oakland,California
47,Tampa,Florida
48,Tulsa,Oklahoma
49,Arlington,Texas
50,Wichita,Kansas
51,New Orleans,Louisiana
52,Aurora,Colorado
53,Bakersfield,California
54,Cleveland,Ohio
55,Anaheim,California
56,Honolulu,Hawaii
57,Santa Ana,California
58,Riverside,California
59,Henderson,Nevada
60,Corpus Christi,Texas
61,Lexington,Kentucky
62,Stockton,California
63,Saint Paul,Minnesota
64,Cincinnati,Ohio
65,Pittsburgh,Pennsylvania
66,Greensboro,North Carolina
67,St. Louis,Missouri
68,Plano,Texas
69,Lincoln,Nebraska
70,Orlando,Florida
71,Anchorage,Alaska
72,Durham,North Carolina
73,Irvine,California
74,Newark,New Jersey
75,Chula Vista,California
76,Fort Wayne,Indiana
77,Toledo,Ohio
78,St. Petersburg,Florida
79,Chandler,Arizona
80,Laredo,Texas
81,Madison,Wisconsin
82,Jersey City,New Jersey
83,Scottsdale,Arizona
84,Lubbock,Texas
85,North Las Vegas,Nevada
86,Reno,Nevada
87,Gilbert,Arizona
88,Glendale,Arizona
89,Buffalo,New York
90,Winston–Salem,North Carolina
91,Chesapeake,Virginia
92,Norfolk,Virginia
93,Irving,Texas
94,Garland,Texas
95,Fremont,California
96,Richmond,Virginia
